"path","cc"
"~/Downloads/Hamby Set 44/known//br1_1_land1.x3p",100
"~/Downloads/Hamby Set 44/known//br1_1_land2.x3p",100
"~/Downloads/Hamby Set 44/known//br1_1_land3.x3p",100
"~/Downloads/Hamby Set 44/known//br1_1_land4.x3p",100
"~/Downloads/Hamby Set 44/known//br1_1_land5.x3p",100
"~/Downloads/Hamby Set 44/known//br1_1_land6.x3p",100
"~/Downloads/Hamby Set 44/known//br1_2_land1.x3p",100
"~/Downloads/Hamby Set 44/known//br1_2_land2.x3p",100
"~/Downloads/Hamby Set 44/known//br1_2_land3.x3p",100
"~/Downloads/Hamby Set 44/known//br1_2_land4.x3p",100
"~/Downloads/Hamby Set 44/known//br1_2_land5.x3p",100
"~/Downloads/Hamby Set 44/known//br1_2_land6.x3p",100
"~/Downloads/Hamby Set 44/known//br10_1_land1.x3p",100
"~/Downloads/Hamby Set 44/known//br10_1_land2.x3p",100
"~/Downloads/Hamby Set 44/known//br10_1_land3.x3p",100
"~/Downloads/Hamby Set 44/known//br10_1_land4.x3p",100
"~/Downloads/Hamby Set 44/known//br10_1_land5.x3p",100
"~/Downloads/Hamby Set 44/known//br10_1_land6.x3p",100
"~/Downloads/Hamby Set 44/known//br10_2_land1.x3p",100
"~/Downloads/Hamby Set 44/known//br10_2_land2.x3p",100
"~/Downloads/Hamby Set 44/known//br10_2_land3.x3p",100
"~/Downloads/Hamby Set 44/known//br10_2_land4.x3p",125
"~/Downloads/Hamby Set 44/known//br10_2_land5.x3p",100
"~/Downloads/Hamby Set 44/known//br10_2_land6.x3p",100
"~/Downloads/Hamby Set 44/known//br2_1_land1.x3p",100
"~/Downloads/Hamby Set 44/known//br2_1_land2.x3p",100
"~/Downloads/Hamby Set 44/known//br2_1_land3.x3p",100
"~/Downloads/Hamby Set 44/known//br2_1_land4.x3p",100
"~/Downloads/Hamby Set 44/known//br2_1_land5.x3p",225
"~/Downloads/Hamby Set 44/known//br2_1_land6.x3p",100
"~/Downloads/Hamby Set 44/known//br2_2_land1.x3p",100
"~/Downloads/Hamby Set 44/known//br2_2_land2.x3p",100
"~/Downloads/Hamby Set 44/known//br2_2_land3.x3p",100
"~/Downloads/Hamby Set 44/known//br2_2_land4.x3p",100
"~/Downloads/Hamby Set 44/known//br2_2_land5.x3p",100
"~/Downloads/Hamby Set 44/known//br2_2_land6.x3p",100
"~/Downloads/Hamby Set 44/known//br3_1_land1.x3p",100
"~/Downloads/Hamby Set 44/known//br3_1_land2.x3p",100
"~/Downloads/Hamby Set 44/known//br3_1_land3.x3p",100
"~/Downloads/Hamby Set 44/known//br3_1_land4.x3p",100
"~/Downloads/Hamby Set 44/known//br3_1_land5.x3p",100
"~/Downloads/Hamby Set 44/known//br3_1_land6.x3p",150
"~/Downloads/Hamby Set 44/known//br3_2_land1.x3p",625
"~/Downloads/Hamby Set 44/known//br3_2_land2.x3p",100
"~/Downloads/Hamby Set 44/known//br3_2_land3.x3p",550
"~/Downloads/Hamby Set 44/known//br3_2_land4.x3p",100
"~/Downloads/Hamby Set 44/known//br3_2_land5.x3p",100
"~/Downloads/Hamby Set 44/known//br3_2_land6.x3p",100
"~/Downloads/Hamby Set 44/known//br4_1_land1.x3p",100
"~/Downloads/Hamby Set 44/known//br4_1_land2.x3p",100
"~/Downloads/Hamby Set 44/known//br4_1_land3.x3p",100
"~/Downloads/Hamby Set 44/known//br4_1_land4.x3p",100
"~/Downloads/Hamby Set 44/known//br4_1_land5.x3p",100
"~/Downloads/Hamby Set 44/known//br4_1_land6.x3p",100
"~/Downloads/Hamby Set 44/known//br4_2_land1.x3p",150
"~/Downloads/Hamby Set 44/known//br4_2_land2.x3p",125
"~/Downloads/Hamby Set 44/known//br4_2_land3.x3p",100
"~/Downloads/Hamby Set 44/known//br4_2_land4.x3p",100
"~/Downloads/Hamby Set 44/known//br4_2_land5.x3p",100
"~/Downloads/Hamby Set 44/known//br4_2_land6.x3p",125
"~/Downloads/Hamby Set 44/known//br5_1_land1.x3p",100
"~/Downloads/Hamby Set 44/known//br5_1_land2.x3p",100
"~/Downloads/Hamby Set 44/known//br5_1_land3.x3p",100
"~/Downloads/Hamby Set 44/known//br5_1_land4.x3p",100
"~/Downloads/Hamby Set 44/known//br5_1_land5.x3p",100
"~/Downloads/Hamby Set 44/known//br5_1_land6.x3p",100
"~/Downloads/Hamby Set 44/known//br5_2_land1.x3p",100
"~/Downloads/Hamby Set 44/known//br5_2_land2.x3p",100
"~/Downloads/Hamby Set 44/known//br5_2_land3.x3p",100
"~/Downloads/Hamby Set 44/known//br5_2_land4.x3p",100
"~/Downloads/Hamby Set 44/known//br5_2_land5.x3p",100
"~/Downloads/Hamby Set 44/known//br5_2_land6.x3p",100
"~/Downloads/Hamby Set 44/known//br6_1_land1.x3p",125
"~/Downloads/Hamby Set 44/known//br6_1_land2.x3p",100
"~/Downloads/Hamby Set 44/known//br6_1_land3.x3p",100
"~/Downloads/Hamby Set 44/known//br6_1_land4.x3p",100
"~/Downloads/Hamby Set 44/known//br6_1_land5.x3p",100
"~/Downloads/Hamby Set 44/known//br6_1_land6.x3p",100
"~/Downloads/Hamby Set 44/known//br6_2_land1.x3p",100
"~/Downloads/Hamby Set 44/known//br6_2_land2.x3p",150
"~/Downloads/Hamby Set 44/known//br6_2_land3.x3p",100
"~/Downloads/Hamby Set 44/known//br6_2_land4.x3p",100
"~/Downloads/Hamby Set 44/known//br6_2_land5.x3p",100
"~/Downloads/Hamby Set 44/known//br6_2_land6.x3p",100
"~/Downloads/Hamby Set 44/known//br7_1_land1.x3p",100
"~/Downloads/Hamby Set 44/known//br7_1_land2.x3p",100
"~/Downloads/Hamby Set 44/known//br7_1_land3.x3p",100
"~/Downloads/Hamby Set 44/known//br7_1_land4.x3p",125
"~/Downloads/Hamby Set 44/known//br7_1_land5.x3p",100
"~/Downloads/Hamby Set 44/known//br7_1_land6.x3p",125
"~/Downloads/Hamby Set 44/known//br7_2_land1.x3p",100
"~/Downloads/Hamby Set 44/known//br7_2_land2.x3p",100
"~/Downloads/Hamby Set 44/known//br7_2_land3.x3p",100
"~/Downloads/Hamby Set 44/known//br7_2_land4.x3p",300
"~/Downloads/Hamby Set 44/known//br7_2_land5.x3p",100
"~/Downloads/Hamby Set 44/known//br7_2_land6.x3p",100
"~/Downloads/Hamby Set 44/known//br8_1_land1.x3p",200
"~/Downloads/Hamby Set 44/known//br8_1_land2.x3p",100
"~/Downloads/Hamby Set 44/known//br8_1_land3.x3p",350
"~/Downloads/Hamby Set 44/known//br8_1_land4.x3p",150
"~/Downloads/Hamby Set 44/known//br8_1_land5.x3p",125
"~/Downloads/Hamby Set 44/known//br8_1_land6.x3p",100
"~/Downloads/Hamby Set 44/known//br8_2_land1.x3p",150
"~/Downloads/Hamby Set 44/known//br8_2_land2.x3p",100
"~/Downloads/Hamby Set 44/known//br8_2_land3.x3p",100
"~/Downloads/Hamby Set 44/known//br8_2_land4.x3p",100
"~/Downloads/Hamby Set 44/known//br8_2_land5.x3p",100
"~/Downloads/Hamby Set 44/known//br8_2_land6.x3p",100
"~/Downloads/Hamby Set 44/known//br9_1_land1.x3p",125
"~/Downloads/Hamby Set 44/known//br9_1_land2.x3p",125
"~/Downloads/Hamby Set 44/known//br9_1_land3.x3p",100
"~/Downloads/Hamby Set 44/known//br9_1_land4.x3p",100
"~/Downloads/Hamby Set 44/known//br9_1_land5.x3p",100
"~/Downloads/Hamby Set 44/known//br9_1_land6.x3p",100
"~/Downloads/Hamby Set 44/known//br9_2_land1.x3p",100
"~/Downloads/Hamby Set 44/known//br9_2_land2.x3p",200
"~/Downloads/Hamby Set 44/known//br9_2_land3.x3p",100
"~/Downloads/Hamby Set 44/known//br9_2_land4.x3p",100
"~/Downloads/Hamby Set 44/known//br9_2_land5.x3p",100
"~/Downloads/Hamby Set 44/known//br9_2_land6.x3p",100
"~/Downloads/Hamby Set 44/unknown//brA_1_land1.x3p",100
"~/Downloads/Hamby Set 44/unknown//brA_1_land2.x3p",100
"~/Downloads/Hamby Set 44/unknown//brA_1_land3.x3p",100
"~/Downloads/Hamby Set 44/unknown//brA_1_land4.x3p",100
"~/Downloads/Hamby Set 44/unknown//brA_1_land5.x3p",100
"~/Downloads/Hamby Set 44/unknown//brA_1_land6.x3p",100
"~/Downloads/Hamby Set 44/unknown//brB_1_land1.x3p",100
"~/Downloads/Hamby Set 44/unknown//brB_1_land2.x3p",100
"~/Downloads/Hamby Set 44/unknown//brB_1_land3.x3p",550
"~/Downloads/Hamby Set 44/unknown//brB_1_land4.x3p",150
