"bullet","x","sd"
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-1.x3p",100,1.2477806360766
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-1.x3p",125,1.21070576656623
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-1.x3p",150,1.19312086968512
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-1.x3p",175,1.10093840314378
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-1.x3p",200,1.07952141987612
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-1.x3p",225,1.06804457378643
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-1.x3p",25,1.80936032251236
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-1.x3p",250,1.03285151877563
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-1.x3p",275,0.993405257200142
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-1.x3p",300,1.00051179743333
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-1.x3p",325,1.06183937798612
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-1.x3p",350,1.12022317180263
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-1.x3p",375,1.1857472282389
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-1.x3p",400,0.905781674230473
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-1.x3p",425,0.882796515054761
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-1.x3p",450,0.84705046413725
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-1.x3p",475,0.891562453795639
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-1.x3p",50,1.53795749550134
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-1.x3p",500,0.927269245638482
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-1.x3p",75,1.18283958027777
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-2.x3p",100,0.803211063904698
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-2.x3p",125,0.816762743307435
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-2.x3p",150,0.791906564783585
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-2.x3p",175,0.774287486332883
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-2.x3p",200,0.749879959861537
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-2.x3p",225,0.722821197851701
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-2.x3p",25,1.19917426543316
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-2.x3p",250,0.719315982614053
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-2.x3p",275,0.710088427687327
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-2.x3p",300,0.730753147474988
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-2.x3p",325,0.772626838943421
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-2.x3p",350,0.769938532674409
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-2.x3p",375,0.763149472714013
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-2.x3p",400,0.814346903964653
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-2.x3p",425,0.797042034916467
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-2.x3p",450,0.831003156680016
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 1-2.x3p",475,0.832788786504576
