"path","cc"
"images/Hamby (2009) Barrel/bullets/Br1 Bullet 1-1.x3p",100
"images/Hamby (2009) Barrel/bullets/Br1 Bullet 1-2.x3p",100
"images/Hamby (2009) Barrel/bullets/Br1 Bullet 1-3.x3p",100
"images/Hamby (2009) Barrel/bullets/Br1 Bullet 1-4.x3p",100
"images/Hamby (2009) Barrel/bullets/Br1 Bullet 1-5.x3p",100
"images/Hamby (2009) Barrel/bullets/Br1 Bullet 1-6.x3p",100
"images/Hamby (2009) Barrel/bullets/Br1 Bullet 2-1.x3p",100
"images/Hamby (2009) Barrel/bullets/Br1 Bullet 2-2.x3p",175
"images/Hamby (2009) Barrel/bullets/Br1 Bullet 2-3.x3p",NA
"images/Hamby (2009) Barrel/bullets/Br1 Bullet 2-4.x3p",150
"images/Hamby (2009) Barrel/bullets/Br1 Bullet 2-5.x3p",125
"images/Hamby (2009) Barrel/bullets/Br1 Bullet 2-6.x3p",100
"images/Hamby (2009) Barrel/bullets/br1_1_land1.x3p",100
"images/Hamby (2009) Barrel/bullets/br1_1_land2.x3p",100
"images/Hamby (2009) Barrel/bullets/br1_1_land3.x3p",100
"images/Hamby (2009) Barrel/bullets/br1_1_land4.x3p",100
"images/Hamby (2009) Barrel/bullets/br1_1_land5.x3p",125
"images/Hamby (2009) Barrel/bullets/br1_1_land6.x3p",100
"images/Hamby (2009) Barrel/bullets/br1_2_land1.x3p",100
"images/Hamby (2009) Barrel/bullets/br1_2_land2.x3p",325
"images/Hamby (2009) Barrel/bullets/br1_2_land3.x3p",100
"images/Hamby (2009) Barrel/bullets/br1_2_land4.x3p",150
"images/Hamby (2009) Barrel/bullets/br1_2_land5.x3p",100
"images/Hamby (2009) Barrel/bullets/br1_2_land6.x3p",100
"images/Hamby (2009) Barrel/bullets/Br10 Bullet 1-1.x3p",200
"images/Hamby (2009) Barrel/bullets/Br10 Bullet 1-2.x3p",175
"images/Hamby (2009) Barrel/bullets/Br10 Bullet 1-3.x3p",225
"images/Hamby (2009) Barrel/bullets/Br10 Bullet 1-4.x3p",200
"images/Hamby (2009) Barrel/bullets/Br10 Bullet 1-5.x3p",100
"images/Hamby (2009) Barrel/bullets/Br10 Bullet 1-6.x3p",200
"images/Hamby (2009) Barrel/bullets/Br10 Bullet 2-1.x3p",150
"images/Hamby (2009) Barrel/bullets/Br10 Bullet 2-2.x3p",200
"images/Hamby (2009) Barrel/bullets/Br10 Bullet 2-3.x3p",125
"images/Hamby (2009) Barrel/bullets/Br10 Bullet 2-4.x3p",125
"images/Hamby (2009) Barrel/bullets/Br10 Bullet 2-5.x3p",150
"images/Hamby (2009) Barrel/bullets/Br10 Bullet 2-6.x3p",125
"images/Hamby (2009) Barrel/bullets/br10_1_land1.x3p",100
"images/Hamby (2009) Barrel/bullets/br10_1_land2.x3p",100
"images/Hamby (2009) Barrel/bullets/br10_1_land3.x3p",100
"images/Hamby (2009) Barrel/bullets/br10_1_land4.x3p",150
"images/Hamby (2009) Barrel/bullets/br10_1_land5.x3p",125
"images/Hamby (2009) Barrel/bullets/br10_1_land6.x3p",100
"images/Hamby (2009) Barrel/bullets/br10_2_land1.x3p",100
"images/Hamby (2009) Barrel/bullets/br10_2_land2.x3p",100
"images/Hamby (2009) Barrel/bullets/br10_2_land3.x3p",125
"images/Hamby (2009) Barrel/bullets/br10_2_land4.x3p",100
"images/Hamby (2009) Barrel/bullets/br10_2_land5.x3p",100
"images/Hamby (2009) Barrel/bullets/br10_2_land6.x3p",250
"images/Hamby (2009) Barrel/bullets/Br2 Bullet 1-1.x3p",150
"images/Hamby (2009) Barrel/bullets/Br2 Bullet 1-2.x3p",150
"images/Hamby (2009) Barrel/bullets/Br2 Bullet 1-3.x3p",150
"images/Hamby (2009) Barrel/bullets/Br2 Bullet 1-4.x3p",300
"images/Hamby (2009) Barrel/bullets/Br2 Bullet 1-5.x3p",100
"images/Hamby (2009) Barrel/bullets/Br2 Bullet 1-6.x3p",125
"images/Hamby (2009) Barrel/bullets/Br2 Bullet 2-1.x3p",175
"images/Hamby (2009) Barrel/bullets/Br2 Bullet 2-2.x3p",150
"images/Hamby (2009) Barrel/bullets/Br2 Bullet 2-3.x3p",125
"images/Hamby (2009) Barrel/bullets/Br2 Bullet 2-4.x3p",175
"images/Hamby (2009) Barrel/bullets/Br2 Bullet 2-5.x3p",150
"images/Hamby (2009) Barrel/bullets/Br2 Bullet 2-6.x3p",175
"images/Hamby (2009) Barrel/bullets/br2_1_land1.x3p",100
"images/Hamby (2009) Barrel/bullets/br2_1_land2.x3p",100
"images/Hamby (2009) Barrel/bullets/br2_1_land3.x3p",100
"images/Hamby (2009) Barrel/bullets/br2_1_land4.x3p",100
"images/Hamby (2009) Barrel/bullets/br2_1_land5.x3p",250
"images/Hamby (2009) Barrel/bullets/br2_1_land6.x3p",175
"images/Hamby (2009) Barrel/bullets/br2_2_land1.x3p",150
"images/Hamby (2009) Barrel/bullets/br2_2_land2.x3p",100
"images/Hamby (2009) Barrel/bullets/br2_2_land3.x3p",100
"images/Hamby (2009) Barrel/bullets/br2_2_land4.x3p",100
"images/Hamby (2009) Barrel/bullets/br2_2_land5.x3p",100
"images/Hamby (2009) Barrel/bullets/br2_2_land6.x3p",150
"images/Hamby (2009) Barrel/bullets/Br3 Bullet 1-1.x3p",175
"images/Hamby (2009) Barrel/bullets/Br3 Bullet 1-2.x3p",125
