"bullet","groove_left","groove_right"
"~/Downloads/Hamby Set 44/known/br1_1_land1.x3p",128.125,2093.75
"~/Downloads/Hamby Set 44/known/br1_1_land2.x3p",334.375,2293.75
"~/Downloads/Hamby Set 44/known/br1_1_land3.x3p",181.25,2328.125
"~/Downloads/Hamby Set 44/known/br1_1_land4.x3p",248.4375,2210.9375
"~/Downloads/Hamby Set 44/known/br1_1_land5.x3p",78.125,2168.75
"~/Downloads/Hamby Set 44/known/br1_1_land6.x3p",234.375,2204.6875
"~/Downloads/Hamby Set 44/known/br1_2_land1.x3p",207.8125,2115.625
"~/Downloads/Hamby Set 44/known/br1_2_land2.x3p",282.8125,2212.5
"~/Downloads/Hamby Set 44/known/br1_2_land3.x3p",159.375,2090.625
"~/Downloads/Hamby Set 44/known/br1_2_land4.x3p",143.75,2157.8125
"~/Downloads/Hamby Set 44/known/br1_2_land5.x3p",296.875,2246.875
"~/Downloads/Hamby Set 44/known/br1_2_land6.x3p",243.75,2189.0625
"~/Downloads/Hamby Set 44/known/br10_1_land1.x3p",306.25,2296.875
"~/Downloads/Hamby Set 44/known/br10_1_land2.x3p",282.8125,2260.9375
"~/Downloads/Hamby Set 44/known/br10_1_land3.x3p",279.6875,2242.1875
"~/Downloads/Hamby Set 44/known/br10_1_land4.x3p",331.25,2312.5
"~/Downloads/Hamby Set 44/known/br10_1_land5.x3p",342.1875,2321.875
"~/Downloads/Hamby Set 44/known/br10_1_land6.x3p",332.8125,2276.5625
"~/Downloads/Hamby Set 44/known/br10_2_land1.x3p",353.125,2325
"~/Downloads/Hamby Set 44/known/br10_2_land2.x3p",153.125,2229.6875
"~/Downloads/Hamby Set 44/known/br10_2_land3.x3p",259.375,2243.75
"~/Downloads/Hamby Set 44/known/br10_2_land4.x3p",331.25,2507.8125
"~/Downloads/Hamby Set 44/known/br10_2_land5.x3p",323.4375,2312.5
"~/Downloads/Hamby Set 44/known/br10_2_land6.x3p",337.5,2293.75
"~/Downloads/Hamby Set 44/known/br2_1_land1.x3p",181.25,2157.8125
"~/Downloads/Hamby Set 44/known/br2_1_land2.x3p",257.8125,2237.5
"~/Downloads/Hamby Set 44/known/br2_1_land3.x3p",275,2259.375
"~/Downloads/Hamby Set 44/known/br2_1_land4.x3p",298.4375,2281.25
"~/Downloads/Hamby Set 44/known/br2_1_land5.x3p",317.1875,2293.75
"~/Downloads/Hamby Set 44/known/br2_1_land6.x3p",326.5625,2298.4375
"~/Downloads/Hamby Set 44/known/br2_2_land1.x3p",303.125,2268.75
"~/Downloads/Hamby Set 44/known/br2_2_land2.x3p",273.4375,2253.125
"~/Downloads/Hamby Set 44/known/br2_2_land3.x3p",337.5,2332.8125
"~/Downloads/Hamby Set 44/known/br2_2_land4.x3p",310.9375,2300
"~/Downloads/Hamby Set 44/known/br2_2_land5.x3p",321.875,2303.125
"~/Downloads/Hamby Set 44/known/br2_2_land6.x3p",318.75,2275
"~/Downloads/Hamby Set 44/known/br3_1_land1.x3p",268.75,2257.8125
"~/Downloads/Hamby Set 44/known/br3_1_land2.x3p",373.4375,2295.3125
"~/Downloads/Hamby Set 44/known/br3_1_land3.x3p",267.1875,2239.0625
"~/Downloads/Hamby Set 44/known/br3_1_land4.x3p",157.8125,2114.0625
"~/Downloads/Hamby Set 44/known/br3_1_land5.x3p",268.75,2260.9375
"~/Downloads/Hamby Set 44/known/br3_1_land6.x3p",298.4375,2303.125
"~/Downloads/Hamby Set 44/known/br3_2_land1.x3p",310.9375,2296.875
"~/Downloads/Hamby Set 44/known/br3_2_land2.x3p",229.6875,2253.125
"~/Downloads/Hamby Set 44/known/br3_2_land3.x3p",395.3125,2401.5625
"~/Downloads/Hamby Set 44/known/br3_2_land4.x3p",167.1875,2162.5
"~/Downloads/Hamby Set 44/known/br3_2_land5.x3p",229.6875,2206.25
"~/Downloads/Hamby Set 44/known/br3_2_land6.x3p",303.125,2279.6875
"~/Downloads/Hamby Set 44/known/br4_1_land1.x3p",282.8125,2360.9375
"~/Downloads/Hamby Set 44/known/br4_1_land2.x3p",328.125,2606.25
"~/Downloads/Hamby Set 44/known/br4_1_land3.x3p",293.75,2273.4375
"~/Downloads/Hamby Set 44/known/br4_1_land4.x3p",276.5625,2259.375
"~/Downloads/Hamby Set 44/known/br4_1_land5.x3p",179.6875,2151.5625
"~/Downloads/Hamby Set 44/known/br4_1_land6.x3p",331.25,2243.75
"~/Downloads/Hamby Set 44/known/br4_2_land1.x3p",382.8125,2351.5625
