"b2","b1","ccf","lag","D","sd.D","x1","x2","signature.length","matches.per.mm","mismatches.per.mm","cms.per.mm","cms2.per.mm","non_cms.per.mm","left_cms.per.mm","right_cms.per.mm","left_noncms.per.mm","right_noncms.per.mm","sumpeaks.per.mm","data","id.x","id.y","match","span"
"Ukn Bullet B-1","Br1 Bullet 1-1",0.31084462834033,154.6875,1.3225810901489,1.72090264159921,79.6875,120.3125,1.959375,1.5311004784689,26.5390749601276,1.0207336523126,0.5103668261563,12.7591706539075,0,0,6.6347687400319,12.7591706539075,0.841738040701529,"data-nist/unkn1-nist.RData",1,38,FALSE,1
"Ukn Bullet B-1","Br7 Bullet 1-2",0.29150501844482,-432.8125,2.09264079041902,1.93516178664314,159.375,120.3125,1.9484375,3.59262229350441,35.4129911788292,2.05292702485966,1.02646351242983,12.317562149158,0,0,9.7514033680834,11.8043303929431,2.83567013119454,"data-nist/unkn1-nist.RData",32,38,FALSE,1
"Ukn Bullet B-1","Br9 Bullet 2-4",0.334466593825447,-1160.9375,12.765435504269,3.48241084370389,300,120.3125,1.9328125,1.03476151980598,58.981406628941,1.03476151980598,0.517380759902991,32.0776071139855,0,0,32.0776071139855,26.9037995149555,3.31723455517151,"data-nist/unkn1-nist.RData",51,38,FALSE,1
"Ukn Bullet B-1","Br3 Bullet 2-4",0.285610171821362,53.125,4.16681567580556,2.58989872687091,120.3125,120.3125,1.9421875,2.57441673370877,24.7144006436042,1.02976669348351,0.514883346741754,8.75301689460981,0,0,1.54465004022526,7.72325020112631,1.06947786480486,"data-nist/unkn1-nist.RData",14,38,FALSE,1
"Ukn Bullet B-1","Br4 Bullet 2-5",0.278395344149596,-73.4375,1.17351183809291,1.60120425970445,120.3125,120.3125,1.9296875,2.07287449392713,23.3198380566802,0.518218623481781,0.518218623481781,9.32793522267206,0,0,4.14574898785425,9.32793522267206,0.951886430687111,"data-nist/unkn1-nist.RData",39,38,FALSE,1
"Ukn Bullet B-1","Br1 Bullet 2-4",0.240874014878802,29.6875,0.747760629812965,1.33380358242895,140.625,120.3125,1.959375,4.5933014354067,25.0079744816587,1.5311004784689,1.0207336523126,11.7384370015949,0,0,2.0414673046252,1.0207336523126,3.83463520711593,"data-nist/unkn1-nist.RData",2,38,FALSE,1
"Ukn Bullet B-1","Br1 Bullet 1-6",0.225949040482524,-1171.875,3.32824634443728,2.41016503440236,79.6875,120.3125,1.959375,0.5103668261563,78.5964912280702,0.5103668261563,0.5103668261563,47.9744816586922,0,0,30.622009569378,47.9744816586922,0.99743178462188,"data-nist/unkn1-nist.RData",6,38,FALSE,1
"Ukn Bullet B-1","Br10 Bullet 2-4",0.329332339780168,-389.0625,1.75188410326065,1.84740711203042,120.3125,120.3125,1.9375,2.06451612903226,30.4516129032258,0.516129032258065,0.516129032258065,9.29032258064516,0,0,9.29032258064516,7.74193548387097,1.52458187041576,"data-nist/unkn1-nist.RData",56,38,FALSE,1
"Ukn Bullet B-1","Br9 Bullet 1-5",0.22834783563719,-921.875,0.531598931714963,1.25030658221551,220.3125,120.3125,1.928125,4.14910858995138,54.4570502431118,1.55591572123177,0.518638573743922,23.3387358184765,0,0,23.3387358184765,23.3387358184765,2.18370112686233,"data-nist/unkn1-nist.RData",53,38,FALSE,1
"Ukn Bullet B-1","Br1 Bullet 1-5",0.368450101388201,-212.5,2.20519012173324,2.05764670804935,59.375,120.3125,1.9203125,4.68673718470301,30.2034174125305,1.04149715215622,0.520748576078112,7.81122864117168,0,0,5.72823433685924,7.29048006509357,6.16319980977814,"data-nist/unkn1-nist.RData",5,38,FALSE,1
