"b2","b1","ccf","lag","distr.dist","x1","x2","num.matches","num.mismatches","non_cms","cms","data","resID","id.x","id.y","match"
"Ukn Bullet B-1","Br1 Bullet 1-1",0.280265828849638,301,1.50526637391054,100,125,4,20,4,4,"data/unkn1.RData",1,1,38,FALSE
"Ukn Bullet B-1","Br7 Bullet 1-2",0.0395329323127078,16,7.9216663112851,125,125,4,17,2,2,"data/unkn1.RData",86,32,38,FALSE
"Ukn Bullet B-1","Br9 Bullet 2-4",0.206616110028689,383,2.11761913800039,212.5,125,5,14,2,2,"data/unkn1.RData",118,51,38,FALSE
"Ukn Bullet B-1","Br3 Bullet 2-4",0.263630906682438,230,2.80563575590335,125,125,5,19,2,2,"data/unkn1.RData",46,14,38,FALSE
"Ukn Bullet B-1","Br4 Bullet 2-5",0.301952514272287,152,1.18061579455629,112.5,125,5,19,3,3,"data/unkn1.RData",59,39,38,FALSE
"Ukn Bullet B-1","Br1 Bullet 2-4",0.306449452372013,304,0.591884334016823,137.5,125,9,16,3,3,"data/unkn1.RData",10,2,38,FALSE
"Ukn Bullet B-1","Br1 Bullet 1-6",0.113980242623379,319,2.32694325063817,100,125,5,12,3,3,"data/unkn1.RData",6,6,38,FALSE
"Ukn Bullet B-1","Br10 Bullet 2-4",0.369283346950043,39,5.06603795643613,112.5,125,1,19,1,1,"data/unkn1.RData",22,56,38,FALSE
"Ukn Bullet B-1","Br9 Bullet 1-5",0.138123025300723,180,0.644077506594459,212.5,125,7,18,3,3,"data/unkn1.RData",113,53,38,FALSE
"Ukn Bullet B-1","Br1 Bullet 1-5",0.403231193931993,65,1.82271400398878,100,125,5,22,2,2,"data/unkn1.RData",5,5,38,FALSE
"Ukn Bullet B-1","Br1 Bullet 1-2",0.301023008202901,297,0.599410979671711,100,125,7,18,2,2,"data/unkn1.RData",2,2,38,FALSE
"Ukn Bullet B-1","Br4 Bullet 2-1",0.278192131081309,189,1.53603485666801,162.5,125,7,11,4,4,"data/unkn1.RData",55,41,38,FALSE
"Ukn Bullet B-1","Br10 Bullet 2-2",0.217020501011105,328,3.80391953451287,100,125,4,8,4,4,"data/unkn1.RData",20,59,38,FALSE
"Ukn Bullet B-1","Br2 Bullet 2-3",0.31996861259987,115,1.21595732349318,125,125,7,20,4,4,"data/unkn1.RData",33,10,38,FALSE
"Ukn Bullet B-1","Br6 Bullet 1-2",0.177942752178665,401,4.70872324993122,125,125,5,21,2,2,"data/unkn1.RData",74,26,38,FALSE
"Ukn Bullet B-1","Br3 Bullet 2-5",0.267996963622095,357,3.82492491832663,125,125,5,10,2,2,"data/unkn1.RData",47,15,38,FALSE
"Ukn Bullet B-1","Br7 Bullet 2-4",0.18105254838053,12,4.35722143932852,100,125,6,18,3,3,"data/unkn1.RData",94,33,38,FALSE
"Ukn Bullet B-1","Br6 Bullet 2-4",0.48038405253069,291,2.65111115647861,175,125,7,23,4,4,"data/unkn1.RData",82,25,38,FALSE
"Ukn Bullet B-1","Br4 Bullet 2-2",0.213082922319501,282,7.00059076884542,100,125,1,12,1,1,"data/unkn1.RData",56,42,38,FALSE
"Ukn Bullet B-1","Br6 Bullet 1-6",0.35014629315364,70,1.57517873483444,100,125,6,22,3,3,"data/unkn1.RData",78,30,38,FALSE
"Ukn Bullet B-1","Br4 Bullet 1-5",0.058053457857459,385,2.91263091262005,100,125,4,10,4,4,"data/unkn1.RData",53,41,38,FALSE
"Ukn Bullet B-1","Br10 Bullet 1-4",0.21902420115763,287,2.16881276849187,100,125,6,23,2,2,"data/unkn1.RData",16,58,38,FALSE
"Ukn Bullet B-1","Br8 Bullet 1-1",0.45197567092782,193,1.66143167684943,150,125,9,11,4,4,"data/unkn1.RData",97,43,38,FALSE
"Ukn Bullet B-1","Br4 Bullet 1-3",0.279681406969896,151,1.44826619759413,100,125,6,17,3,3,"data/unkn1.RData",51,39,38,FALSE
"Ukn Bullet B-1","Br10 Bullet 1-1",0.301458990866923,224,0.699410990062919,200,125,8,14,3,3,"data/unkn1.RData",13,55,38,FALSE
"Ukn Bullet B-1","Br5 Bullet 2-4",0.219419066410169,301,6.87097223113988,100,125,5,6,5,5,"data/unkn1.RData",70,20,38,FALSE
"Ukn Bullet B-1","Br9 Bullet 1-3",0.302201397834296,113,1.64172685245444,112.5,125,6,17,2,2,"data/unkn1.RData",111,51,38,FALSE
"Ukn Bullet B-1","Br2 Bullet 2-5",0.179086790935874,37,5.92125248636609,100,125,3,15,2,2,"data/unkn1.RData",35,12,38,FALSE
"Ukn Bullet B-1","Br8 Bullet 2-4",0.174598680804583,25,6.06231623048248,112.5,125,4,15,2,2,"data/unkn1.RData",106,46,38,FALSE
