"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name"
1,20130,"bullet","circle-resid",NA,1,"filec1375a387297.svg","turk20",1,"b11.csv"
2,19981,"bullet","circle-resid",NA,11,"filec13734f36279.svg","turk20",2,"b12.csv"
3,20044,"bullet","circle-resid",NA,9,"filec13754f949e3.svg","turk20",3,"b21.csv"
4,20120,"bullet","circle-resid",NA,1,"filec137366e0bfc.svg","turk20",4,"b22.csv"
5,20041,"bullet","circle-resid",NA,11,"filec1374d9a1c6e.svg","turk20",5,"b31.csv"
6,19918,"bullet","circle-resid",NA,7,"filec1372000f1b0.svg","turk20",6,"b32.csv"
7,19928,"bullet","circle-resid",NA,11,"filec137202dc005.svg","turk20",7,"b41.csv"
8,19903,"bullet","circle-resid",NA,4,"filec1373fae9d1d.svg","turk20",8,"b42.csv"
9,19730,"bullet","circle-resid",NA,10,"filec1372c6c010e.svg","turk20",9,"b51.csv"
10,20008,"bullet","circle-resid",NA,5,"filec1375ad50c0e.svg","turk20",10,"b52.csv"
11,19869,"bullet","circle-resid",NA,6,"filec1374554c028.svg","turk20",11,"b61.csv"
12,20156,"bullet","circle-resid",NA,2,"filec13746ecced0.svg","turk20",12,"b62.csv"
13,20052,"bullet","trial",NA,3,"images/svgs/filec1371fec0d98.svg","turk20",13,"trial-b41.csv"
14,19857,"bullet","trial",NA,8,"images/svgs/filec13778007ea0.svg","turk20",14,"trial-b43.csv"
15,19992,"bullet","trial",NA,4,"images/svgs/filec1376c8b6759.svg","turk20",15,"trial-b45.csv"
16,19876,"bullet","trial",NA,5,"images/svgs/filec1373e3db5d5.svg","turk20",16,"trial-b46.csv"
